Artist,Genre,Song,Lyrics
Megan Thee Stallion,Hip-Hop/R&B,Savage Remix,Queen'B want no smoke with me Okay Been turnt this motherfucker up eight hundred degree\u2005 Yeah My\u2005whole team eat \u2005chef's kiss she's a treat Mwah Ooh \u2005she so bougie bon appétit I'm a savage Yeah attitude nasty Yeah ah Talk big shit but my bank account match it Ooh Hood but I'm classy rich but I'm ratchet Oh ah Haters kept my name in they mouth now they gaggin Ah ah Bougie he say The way that thang move it\'s a movie Ooh-oh I told that boy We got ta keep it low leave me the room key Ooh-oh I done bled the block and now it's hot bitch I'm Tunechi Ooh-oh A mood and I'm moody ah I'm a savage yeah Okay Classy bougie ratchet yeah Okay Sassy moody nasty yeah Hey hey nasty Acting stupid what's happening Woah woah what's happening Bitch what's happening Woah woah okay Bitch I'm a savage yeah Okay Classy bougie ratchet yeah Ratchet Sassy moody nasty huh Nasty Acting stupid what's happening Woah ooh-oh Bitch what's happening Ayy ah ooh-oh Hips TikTok when I dance Dance On that Demon Time she might start a OnlyFans Big'B and that'B stand for band If you wan na see some real as baby here's your chance I say left cheek right drop it low then swang Swang Texas up in this thang put you up on this game Game IVY PARK on my frame Frame gang Gang If you don't jump to put jean on baby you don't feel my pain Hol up Please don't get me hype I'm write my name in ice Ice Can't argue with these lazy bitch I just raise my price I'm a bos I'm a leader I pull up in my two-seater And my mama wa a savage nigga got this shit from Tina I'm a savage yeah Classy bougie ratchet yeah Ratchet Sassy moody nasty yeah Okay Acting stupid what's happening Ah Bitch what's happening Ah what's up Bitch I'm a savage yeah Classy bougie ratchet yeah Woah woah okay Sassy moody nasty huh Ooh ooh okay Acting stupid what's happening Woah ah Bitch what's happening Ayy ah Like Beyoncé like me Like He want a bitch like the Stallion with the knee With the knee He be like Damn how that thang movin\ in them jean Yeah yeah them jean Ayy even D4L couldn't do it like me Ooh ah ooh I done got this body ready just for you Girl I hope he don't catch me messin round with you Talkin\ to myself in the mirror like Bitch you my boo I'm the shit ooh I need a mop to clean the floor it's too much drip ooh I keep a knot I keep a watch I keep a whip ooh Keep it real ooh Let's play a game Simon say I'm still that bitch ayy I'm still that bitch yuh Ah I'm a savage yeah Okay Classy bougie ratchet Okay Sassy moody nasty yeah Acting stupid what's happening Ah what's up Bitch what's happening Ah what's up Bitch I'm a savage yuh Okay Classy bougie ratchet yeah Woah woah okay Sassy moody nasty huh Ooh ooh Acting stupid what's happening Ooh ooh ah Bitch what's happening Ayy ah I heard they askin for the Queen they brought some camera in here I'm a bad bitch she's a savage no comparison here Ima flip my hair and look back while I twerk in the mirror All this money in the room think some scammer in here I'm comin straight up out that Third I whip the like I stirred it Stirred Woodgrain we swervin keepin his mind all on these curve Uh Coupe fly like a bird Bird cold on \em like Brrr Ice Always keep my word no I don't do crossword Stallion when I ride he like them hot girl with them hip ah Skrrt skrrt I hopped that shit the way I hopped out and slid ah Skrrt skrrt I pop my shit now watch me pop up again ah Woah I mop the floor now watch me sweep up these Ms cause I— Ah I'm a savage yeah Savage okay Classy bougie ratchet yeah Okay Sassy moody nasty yeah Nasty Acting stupid what's happening What's What's up Bitch what's happening Ah what's up Bitch I'm a savage yeah Okay I'm a savage Classy bougie ratchet yeah Woah woah okay bitch Sassy moody nasty huh Yeah yeah nasty Acting stupid Woah what's happening What's Bitch what's happening Ayy ah what's happening I'm a savage It's Thee Stallion and the'B H-Town goin down
Megan Thee Stallion,Hip-Hop/R&B,Cash Shit,Real hot girl shit Yeah I'm in my bag but I'm in his too And that's why every time you see me I got some new shoe Ah mwah ayy look Lil Ju made this beat Bitch I'm a star got these nigga wishin He say he hungry this pussy the kitchen Yeah that's my dawg he gon sit down and listen Call him a trick and he don't get off hold up Bitch I'm a star got these nigga wishin He say he hungry this pussy the kitchen Yeah that's my dawg he gon sit down and listen Call him a trick and he don't get offended He know he giving his money to Megan He know it's very expensive to date me Told him go put my name on that account Because when I need money I ain't tryna hold up He know he giving his money to Megan He know it's very expensive to date me Told him go put my name on that account Because when I need money I ain't tryna wait I can't be fucked with no Ho you can't touch this ayy Bitch I do rich shit huh My money thick ayy Walk with a limp huh I'm on some pimp shit ayy He say You all about money yeah I'm on that cash shit huh I'm in my bag bitch huh I'm on your as bitch huh I'm in that new shit You on that last year huh Bitch I do pimp shit huh Ho you on simp shit ayy He say You all about money yeah I'm on that cash shit ah You know why these bitch love me Why Cause Baby don't give a fuck What you do I be fixin her weave while she suckin my dick Pull it out then I tittyfuck Uh uh I fuck her from the back and she nasty killin her Know how I give it up Yeah yeah I be cool on em bitch ain't no pressure Uh-uh Til I met this lil freak her name Megan Ooh This lil thing here a stallion look how she walk Look how she talk sexy Mwah I like when they pretty and ghetto Uh-huh Type of bitch that don't even say hello Yeah yeah And whenever we fuck she be fuckin me back Put her in the headlock with my elbow Mmh Now she done reversed it Got up on the dick and ride the shit like a Camaro uh I can't be fucked with no Ho you can't touch this ayy Bitch I do rich shit huh My money thick ayy Walk with a limp huh I'm on some pimp shit ayy He say You all about money yeah I'm on that cash shit huh I'm in my bag bitch huh I'm on your as bitch huh I'm in that new shit You on that last year huh Bitch I do pimp shit huh Ho you on simp shit ayy He say You all about money yeah I'm on that cash shit ah Hey hey look I don't be stressin bout none of these nigga When they be talkin I don't even listen Tellin me secret I probably forget it But Ima tune in when he say gon lick it He told em send me a pic cause he miss me I told him send me a stack if he really I don't be trusting these trick cause they tricky Send him a pic of somebody else titty I'm a finesser and I'm a fly dresser Move to the top floor and flew in my dresser My bitch hustle make money together Your bitch bird and they flockin together I can't decide if I want the new Louis Dapper Dan yellow I'm always in Gucci Your mama don't bring your dad to the mall Cause when he be in there she know he be choosin I can't be fucked with no Ho you can't touch this ayy Bitch I do rich shit huh My money thick ayy Walk with a limp huh I'm on some pimp shit ayy He say You all about money yeah I'm on that cash shit huh I'm in my bag bitch huh I'm on your as bitch huh I'm in that new shit You on that last year huh Bitch I do pimp shit huh Ho you on simp shit ayy He say You all about money yeah I'm on that cash shit ah
Megan Thee Stallion,Hip-Hop/R&B,Savage,I'm that bitch Yeah Been that bitch still that bitch Ah Will forever be that bitch Forever\u2005be\u2005that Yeah Ayy \u2005ah I'm the hood Mona Lisa break\u2005a nigga into piece Had to'X some cheesy nigga out\u205fmy\u205fcircle\u205flike a pizza\u205f Yeah I'm way too\u205fexclusive I don't shop on Insta boutique All them lil as clothes only fit fake booty Bad bitch still talking cash shit Pussy like water I'm unbothered and relaxing I would never trip on a nigga if I had him Bitch that's my trash you the maid so you bagged him ah I'm a savage Yeah Classy bougie ratchet Yeah Sassy moody nasty Hey hey yeah Acting stupid what's happening Woah woah Bitch what's happening Woah woah Bitch I'm a savage yeah Classy bougie ratchet yeah Sassy moody nasty huh Acting stupid what's happening Bitch what's happening Ayy ah Eat me and record it but your edge-up all I'm showing Ah I keep my nigga private so his AP all I'm showing Baow Beefing with you bitch really getting kinda boring If it ain't about the money then you know I'm gon ignore it I'm the shit ooh Ayy I need a mop to clean the floor it's too much drip ooh Too much drip ooh I keep a knot I keep a watch I keep a whip ooh I keep a whip baow Let's play a game Simon say I'm still that bitch ayy Still that bitch I'm still that bitch yeah Ah I'm a savage Classy bougie ratchet Yeah Sassy moody nasty Yeah Acting stupid what's happening What's up Bitch what's happening What's up Bitch I'm a savage yeah Classy bougie ratchet yeah Bitch Sassy moody nasty huh Acting stupid what's happening What's up Bitch what's happening Bitch I'm lit like a match ooh And any nigga I let hit is still attached ooh That body right but you know this pussy fat ooh I drop a picture now these bitch feel attacked ayy Don't let that nigga gas you up and get you whacked ooh I make a call and get a pussy nigga smacked uh These bitch talkin bout pulling up well where you at Ooh I'm in a Lam bitch catch me if you can ooh I'm kickin bitch out they spot Stalli Chan yeah Ah Niggas say I taste like sugar but ain't shit sweet Ah Mwah Ayy ayy ooh mwah
Tyga,Hip-Hop/R&B,Taste,D.A Hah Slide on it pimp game with my pinky ring Lotta gang lotta bitch and a icy chain Why you claim that you rich That's a false claim I be straight to the whip no baggage claim Whole lotta style can't even pronounce the name You ain't got no style see you on my Instagram I be rockin it like's fresh out the pan Only when I'm takin pic I'm the middleman Walk talk it like a bos I just lift a hand Three million cash call me Rain Man Money like a shower that's my rain dance And we all in black like it's Gangland Say the wrong word you be hangman Watch me stick to your bitch like a spray tan Aw Mr What-Kind-of-Car-He-In And the city love my name nigga I ain't got ta say it Taste taste she can get a taste Taste she can get a taste Taste fuck what a nigga say It's all the same like Mary-Kate Taste taste she can get a taste Taste let you get a taste Taste do you love the taste Yeah that's cool but he ain't like me Lotta girl like me nigga wan na fight me Nigga get your as checked like a fuckin Nike Me not icy that's unlikely And she gon suck me like a fuckin Hi-C Aw chain on the neck for the whole team And I feel like Gucci with the ice cream And my bitch want the Fenty not the Maybelline I'm the black JB the way these bitch scream Make these bitch scream Ah pretty little thing Like my nigga A.E Say Yadadadamean Taste taste she can get a taste Taste she can get a taste Taste fuck what a nigga say It's all the same like Mary-Kate Taste taste she can get a taste Taste let you get a taste Yes yes do you love the taste Yeah that's cool Offset Yeah Ima put the drip on the plate yeah Drip drip Diamond ice glacier nigga imitate Ice ice Ayy ayy feed me grape Maybach with the drake Grapes Slow pace in the Wraith got this shit from bae Skrrt Diamonds up to par Par the cookie hittin hard Hard The Rari sit in park Park on Addy Mars Shotgun shell we gon always hit the target Blah Popcorn big shell poppin out the cartridge Pop it Nawfside Charles Barkley Nawf Ferrari Skrrt Make her get on top of me and ride me like a Harley Ride She wan na keep me company and never wan depart me No Yeah fishtail in the parking lot Skrrt skrrt I don't kick it with these nigga cause they talk about ya Yeah and I got the fire don't make me spark it out ya Fire Yeah keep it in my back pocket like it's a wallet Who Like the way she suck it like a Jolly Woah Stack it up and put it with the whole project Racks And she got that Patek on water moccasin Patek I'm rich in real life I get that profit copy Hey Taste taste she can get a taste Taste let you get a taste Taste do you love the taste Yeah that's cool but he ain't like me Taste taste LA you can get a taste Taste Miami you can get a taste Taste Oakland you can get a taste Taste New York do you love the taste Taste Chi-Town you can get a taste Taste Houston you can get a taste Taste ayy Portland you can get a taste Taste overseas let them bitch taste Taste she can get a taste Taste she can get a taste Taste do you love the taste Taste worldwide they gon get a taste
Tyga,Hip-Hop/R&B,Stimulated,Fuck what they talkin bout All a nigga hear is my chain clinkin back and forth right now nigga Yeah fuck with me Why the fuck you so opinionated Sayin how you do it but they ain't did it baby You need a demonstration This is how you get richer baby I'm stimulated I'm at the bank I'm penetratin I'm puttin in I'm penetratin I'm gettin big I'm stimulated I touched a bitch she disintegrated Up in flame I ve been the flamest I ve been the hottest you ve been the lamest I ve been on the plane you ve been complainin Fuck the co-defendant pistol whip the plaintiff Hit the mall then we skip arraignment They say she young I should ve waited She a big girl dog when she stimulated Hit Sin City and syndicate it All the time on the strip in Vegas I got the juice but I ain't Minute Maid it But a nigga made it just minute later Shut the fuck and let me finish baby I ll let you finish later Why the fuck you so opinionated Yeah you book smart but don't be gettin paper uh Shootin crap at The Wynn Gettin back to win Made band playin feature And I don't need a feature for this Nigga I'm T-R-A triple double Every time I ball man that's triple double Tom Ford Balmain that's triple stuntin Tryna get a nut only get you nothin So I don't give a fuck who these nigga datin Tsunami the Rollie my wrist is flooded How the fuck can these nigga hate it When these bitch love it man this shit is funny All I can do is laugh all I can do is laugh They try to count me out all day I'm doin math All I can do is add multiply All day I'm doin math but we won't divide You ain't got the flow you ain't got the heart You be on your mark but you're never ready You just talkin shit I can smell your breath Sayin what you do but can't help yourself So why the fuck you so opinionated Sayin how you do it but they ain't did it baby You need a demonstration This is how you get richer baby I'm stimulated I'm at the bank I'm penetratin I'm puttin in I'm penetratin I'm gettin big I'm stimulated I touched the bitch she disintegrated Up in flame I ve been the flamest I ve been the hottest you ve been the lamest I ve been on the plane you ve been complainin Fuck the codefendant pistol whip the plaintiff Hit the mall then we skip arraignment They say she young I should ve waited She a big girl dog when she stimulated She a big girl dog Fuck what they talkin about nigga She a big girl dog I'm gon na do what the fuck I wan na do when I wan na do She a big girl dog I'm puttin in I'm penetratin I'm gettin big I'm stimulated Might take her home gon and dinner plate it I don't heat it up don't microwave it She already hot she sizzle baby No salt and pepper she been the flavor Ima stimulate her yeah simple baby Fuck with me then I fuck with you You don't fuck with me my nigga fuck you too She a big girl dog She a big girl dog She a big girl dog I'm puttin in I'm penetratin I'm gettin big I'm stimulated
Tyga,Hip-Hop/R&B,Rack City,Rack rack city bitch Rack rack city bitch Rack rack city bitch Mustard on the beat Rack city bitch rack city bitch Ten ten twenty on yo titty bitch deep VIP no guest list T-Raw you don't know who you fuckin with Got my other bitch fuckin with my other bitch Fuckin all night nigga we ain't celibate Niggas say I'm too dope I ain't sellin it Raw fresher than a motherfuckin peppermint Gold Lettermans Last King killin shit Y-Young Money Young yeah we gettin rich Got ya grandma on my dick haha Girl you know what it is Rack city bitch rack city bitch Rack city bitch rack city bitch Rack city bitch rack city bitch Ten ten twenty and them fifty bitch Rack city bitch rack city bitch Rack city bitch rack city bitch Rack city bitch rack city bitch Ten ten twenty and them fifty bitch I'm a muthafuckin star Look at the paint on the car Too much rim make the ride too hard Tell that bitch hop out walk the boulevard I need my money pronto Get it in the morning like Alonzo Rondo green got cheese like a nacho If you don't got no as bitch wear a poncho Head honcho got my seat back Nigga staring at me don't get bapped Got my shirt off the club too packed It's too turnt going up like gas Goddamn pulled out my rag Mike Jackson nigga yeah I'm Bad Rat-tat-tat-tat tatted up on my back All the hoe love me you know what it is Rack city bitch rack city bitch Rack city bitch rack city bitch Rack city bitch rack city bitch Ten ten twenty and them fifty bitch Rack city bitch rack city bitch Rack city bitch rack city bitch Rack city bitch rack city bitch Ten ten twenty and them fifty bitch Throwing hundred Hundreds Throwing hundred Rack city bitch rack city bitch Hundreds hundred Throwing Hundreds hundred Rack city bitch rack city bitch Rack city bitch rack city bitch Rack city bitch rack city bitch Rack city bitch rack city bitch Ten ten twenty and them fifty bitch Rack city bitch rack city bitch Rack city bitch rack city bitch Rack city bitch rack city bitch Ten ten twenty and them fifty bitch Throwing hundred Hundreds Throwing hundred Rack city bitch rack city bitch Hundreds hundred Throwing Hundreds hundred Rack city bitch rack city bitch Rack city bitch rack city bitch Rack city bitch rack city bitch
Tory Lanez,Hip-Hop/R&B,Say It,Just keepin it honest You wouldn't want a young nigga if I wan't whippin this foreign That's why I came back top down You gon have to do more than just Say it You gon have to do le when you Do it So mama you know I Show it Always want you to Prove it You gon have to do more than just Say it You gon have to do le when you Do it So mama you know I Show it So you gon need to more than just Prove it And you know And you know in this foreign car let it go And you know And you know in this foreign car let you know How you know that I want you And want me But I now know You I know that this ain't right Cause you want me cause I got dough Ever since you walked in inside my foreign slam my door You know I that you been on it But I been on it the low So let a young nigga get down on it yeah Love when you spin round on it yeah Even though a young nigga want you Shawty I promise the truth And when I come down on it yeah You love when I'm down on it yeah Fuck around spend time on it yeah That's why I came back top down You gon have to do more than just Say it You gon have to do le when you Do it So mama you know I Show it Always want you to Prove it You gon have to do more than just Say it You gon have to do le when you Do it So mama you know I Show it So you gon need to more than just Prove it And you know And you know in this foreign car let it go And you know And you know in this foreign car let you know Gots to break it down for you to let you know You it's thing you know I'm down for Ain't gon act like you ain't bout my dough You know I but girl you know I'm down for Take your time to find you I won't hesitate to take the time to waste no baby Bringin out the foreign out to play You know it's thing it take So let a young nigga get down on it yeah Love when you spin round on it yeah Even though a young nigga want you Shawty I promise the truth And when I come down on it yeah You love when I'm down on it yeah Fuck around spend time on it yeah That's why I came back top down You gon have to do more than just Say it You gon have to do le when you Do it So mama you know I Show it Always want you to Prove it You gon have to do more than just Say it You gon have to do le when you Do it So mama you know I Show it So you gon need to more than just Prove it And you know And you know in this foreign car let it go And you know And you know in this foreign car let you know Say it baby do it baby Show it baby prove it baby Say it baby do it baby Show it baby prove it baby All I'm tryin to say I just wan na see your body move in different way All I wan na do is come close to you You make me come through I get so close to you
Tory Lanez,Hip-Hop/R&B,LUV,We ah sip the Henny for the day baby Bad man we no stray baby Oops I done fell for your way baby I know girl but everyone fall And I know from the first time the first time I seen your love you got me baby Even though girl I know that I will fall for you You got to know that everyone fall Oops I done fell so deep baby Oops I want you for me baby Oops I want you for me baby Oops I done fell so deep cause Everyone fall in love sometimes I don't know bout you but it ain't a crime Neefi let me love you for long time baby Neefi let me touch you neefi let me love you til the morning oh Mmm ah mmm if you let me love you Mmm ah mmm if you let me touch you Mmm ah mmm if you let me love you Mmm ah mmm if you let me love you We ah sip that Henny for the day baby Come my way baby Top down on the highway baby And if you let me love you wait Shawty she ain't even got a visa Out of town one night teaser Need to tell them other nigga ease up I'm falling but everyone fall And I know from the first time the first time I seen your love you got me baby Even though girl I know that I will fall for you You got to know that everyone fall Oops I done fell too deep baby Oops I think you got me baby Oops I want you for me baby I'm fallin but But everyone fall Everyone in love sometimes I don't know bout you but it ain't a crime Neefi let me love you for long time baby Neefi let me touch you neefi let me love you til the morning oh Mmm ah mmm if you let me love you Mmm ah mmm if you let me touch you Mmm ah mmm if you let me love you Mmm ah mmm And if you want me And if you let me love you now It's true what I need Is someone for love me right now It's true I'm a freak It's time to love you now And if you want me I'm falling Everyone fall in love sometimes I don't know bout you but it ain't a crime Neefi let me love you for long time baby Neefi let me touch you neefi let me love you til the morning oh Mmm ah mmm if you let me love you Mmm ah mmm if you let me touch you Mmm ah mmm if you let me love you Mmm ah mmm if you let me love you yeah
Tory Lanez,Hip-Hop/R&B,The Take,Take you down What I'm about Take you down What I'm about Take you down I really wan na take you\u2005down And\u2005show you what\u2005I'm about Can I take you down Your\u2005body body oh Your body up and down I'm gon na put you in seven position for seventy minute you get it babe You got a lot on your mind and I wan na ease it up and lick it and slip it in You do a light scream on that ice cream when I scoop it and dip it in Unzippin the tight jean and that feminine hygiene is magnificent Tryna show you girl I'm different I get to lickin and stickin lickin and stickin it Til the pussy get too wet and it's drippin And splittin both them leg like dividend If it end up how I want it then you ll end up sittin all over my bottom lip baby The feelin of fuckin you feeling all up in you Make it hard for you to bottle em baby This dick is too big just to swallow it baby But still you do it like's Thanksgiving And you gobblin baby Like what's a goon to a goblin baby That pussy hotter than the summer June in Metropolis baby No hidin it baby She know what it is when I come around Let me take you down It ain't my first time but baby girl let's get it in yeah Let it's get in yeah Bump and grind already know Already oh I wan na take you down again Take you down again Hit that rewind button oh-oh Oh-oh Now let me take you down Really wan na take you down Ooh Take you down I do right now Right You know I how Oh-woah Come put that shit all on top of me baby I'm the one they feelin so they copy me baby Got it copywritten that's my property baby And the way that she whip it's drivin me crazy Huh Think I ve been hittin the lottery baby Buy you a Wraith Ima give you my safe Put you in apartment you parkin in place Yeah that's the real-life Monopoly baby We got all night to get it right babe So let me play We got our whole damn life baby So here we are all alone in this room Girl you know what I came to do Know you got me on your radio playin old school CB It's just me and you It ain't my first time but baby girl let's get it in yeah Oh-woah we don't need Bump and grind already know You already know I wan na take you down again Oh-woah Hit that rewind button oh-oh Now let me take you down Really wan na take you down I wan na take you down Ooh Take you down right now Right You know I how I know how ooh Ooh yeah love I promise not to give it to nobody babe You know I And promise you won't give it to nobody babe Know I And promise when you promise keep them promise Yeah yeah I promise not to give it to nobody babe Ooh woah And promise you won't give it to nobody babe Oh And promise when you promise keep them promise Woah I promise not to give it to nobody babe If you feel me let hear you say I promise not to give it to nobody babe Yeah yeah And promise you won't give it to nobody babe Ooh And promise when you promise keep them promise Woah I promise not to give it to nobody babe Keep your promise I not to give it to nobody babe And promise you won't give it to nobody babe And promise when you promise keep them promise
Flo Rida,Hip-Hop/R&B,Low,Hmm-mmm-mmm-mmm-mmm-mmm Let me talk to em let me talk to em let it rain Hmm-mmm-mmm-mmm-mmm-mmm Let me talk to em come on Shawty had them Apple Bottom jean Jeans boot with the fur With the fur The whole club wa lookin at her She hit the flo She hit the flo next thing you know Shawty got low-low-low-low-low-low-low-low Them baggy sweat pant And the Reeboks with the strap With the strap She turned around and gave that big booty a smack Ayy She hit the flo She hit the flo next thing you know Shawty got low-low-low-low-low-low-low-low I ain't never seen nothin that ll make me go This crazy all night spendin my dough Had a million dollar vibe and a bottle to go Them birthday cake they stole the show So sexual she wa flexible Professional drinkin'X and'O Hold up wait a minute do I see what I think I whoa Did I think I see shawty get low Ain't the same when it's up that close Make it rain I'm makin it snow Work the pole I got the bank roll Ima say that I prefer them no clothes I'm into that I love woman exposed She threw it back at me I gave her mo Cash ain't no problem I know where it go She had them Apple Bottom jean Jeans boot with the fur With the fur The whole club wa lookin at her She hit the flo She hit the flo next thing you know Shawty got low-low-low-low-low-low-low-low Them baggy sweat pant And the Reeboks with the strap With the strap She turned around and gave that big booty a smack Ayy She hit the flo She hit the flo next thing you know Shawty got low-low-low-low-low-low-low-low Hey shawty what I got ta do to get you home My jean full of guap and they ready for shones Cadillacs Maybachs for the sexy groan Patron on the rock that ll make you moan One stack cmon two stack cmon Three stack cmon now that's three grand What you think I'm playin baby girl I'm the man I ll bend the rubber band That's what I told her leg on my shoulder I knew it wa over that Henny and Cola Got me like a soldier she ready for Rover I couldn't control her So lucky oh me I wa just like a clover Shawty wa hot like a toaster Sorry but I had to fold her Like a pornography poster she showed her Apple Bottom jean Jeans boot with the fur With the fur The whole club wa lookin at her She hit the flo She hit the flo next thing you know Shawty got low-low-low-low-low-low-low-low Them baggy sweat pant And the Reeboks with the strap with the strap She turned around and gave that big booty a smack Ayy She hit the flo She hit the flo next thing you know Shawty got low-low-low-low-low-low-low-low Whoa shawty Yeah she wa worth the money Lil mama took my cash And I ain't want it back The way she bent that back Got her them paper stack Tattoo above her crack I had to handle that I wa on it sexy woman Let me showin and made me want it Two in the mornin I'm zonin And them Rosay bottle foamin She wouldn't stop made it drop Shawty did that pop and lock Had to break her off that guap Gal wa fly just like my Glock Apple Bottom jean Jeans boot with the fur With the fur The whole club wa lookin at her She hit the flo She hit the flo next thing you know Shawty got low-low-low-low-low-low-low-low Them baggy sweat pant And the Reeboks with the strap With the strap She turned around and gave that big booty a smack Ayy She hit the flo She hit the flo next thing you know Shawty got low-low-low-low-low-low-low-low Come on
